Review,Product,Rating,Username,Date
"Packaging nya jelek banget, ini sih kyk nya ad oknum yg mau ngambil barangnya, kardusnya di buka di bagian samping yg ga di segel.. tolong next nya packing lbh baik lagi",Avoskin Miraculous Retinol Toner 100ml,bintang 1,V***n,Lebih dari 1 tahun lalu
"Tertipu, tidak ada gratis hadiah sarung seperti di gambar",Avoskin Miraculous Acne Solution Bubble-Serum Infused Cleanser,bintang 1,R***i,Lebih dari 1 tahun lalu
Dijanjikan expired 1-2 th tapi dapetnyabulan 11.2022,Avoskin Miraculous Retinol Series,bintang 1,A***a,Lebih dari 1 tahun lalu
"pesen 3 masker yang dikirim 1. my bad ga di video unboxing nya. Tapi kecewa banget bisa lalai bgt team packing nya. please kerja yg fokus dan bener biar customer ga dirugikan begini. Ga semua orang sempet bikin video unboxing begitu. so sorry kasih bintang 1 karna beneran kecewa. buat customer yang lain kalo baca ini, please be more careful ya kalo pesen disini, sesibuk apapun sempetin video unboxing!!!",[3 pcs] Avoskin Miraculous Divine Aura Liquid Sheet Mask,bintang 1,Sherly,Lebih dari 1 tahun lalu
"sangat amat kecewa dengan pelayanan official store satu ini. barang cepat dikirim tp beli 2 diantar 1. baru pertama kali mengalami kejadian seperti ini dr official store. Kekeliruan ada di penjual dianggap sah, tp pembeli tdk sempat unboxing tidak dapat ditoleransi padahal yang buka paket sudah lansia. kalau tidak untuk membelikan orang tua, sudah pasti ganti brand. sangat kecewa.",Avoskin Luminous Emulsion Night Cream,bintang 1,K***a,Lebih dari 1 tahun lalu
"DARI AWAL SAYA C.O, SAYA LANGSUNG AJUKAN PEMBATALAN KARENA SALAH MASUKAN KUPON, CHAT SAYA DIBALAS TAPI BARANG TETAP SAYA DIKIRIMKAN!!! MAKAN TUH DUIT ""NGGA IKHLAS"" SAYA!!!",Avoskin Miraculous Refining Toner 20ml,bintang 1,R***h,Lebih dari 1 tahun lalu
slow respon,Avoskin Intensive Nourishing Eye Cream,bintang 1,A***a,Lebih dari 1 tahun lalu
Utk sunscreen nya bener2 ga recommend. Butuh waktu lama utk di tap2 tapi ujung2nya ga rata. Mana mahal lg huhu,Avoskin The Great Shield Sunscreen 30ml,bintang 1,C***y,Lebih dari 1 tahun lalu
"sudah sebulan lebih pake dan belum terlihat manfaatnya, malah tambah jerawatan",Avoskin Perfect Hydrating Treatment Essence 100ml Special Edition,bintang 1,A***n,Lebih dari 1 tahun lalu
Yg diiklankan tidak sesuai,Avoskin Miraculous Retinol Series Lilac Edition,bintang 1,m***a,Lebih dari 1 tahun lalu
