Review,Product,Rating,Username,Date
"Texture dan Baunya kurang biasa sih, tapi masih bisa ditoleransi kok. Untuk ukuran yang 30ml kirain sudah airless pump juga ternyata belum. Overall masih aman-aman aja di kulit Normal-Berminyak karena masih kurang dari seminggu pemakaian.",[FLASH SALE] SOMETHINC Calm Down! Skinpair Moisturizer - 30ml,bintang 4,A***l,2024-01-28
"Ringan bangettttt tapi tetep ada coveragenya walau tipis. Semoga sering diskon besar ya heheheh aku pake hooman n copy paste cushion yg perle, pake ini juga perle. Di kulitku yg fair cocok bangetttt! Kayak ga ada dempulnya",SOMETHINC Copy Paste Tinted Sunscreen SPF 40 PA++++,bintang 5,Pia,2024-01-28
ga tau kok malah jerawat muncul.. btw serum juga merk baru.. semoga aman..,[Tasya Farasya Approved] SOMETHINC Calm Down! Skinpair Moisturizer,bintang 5,A***f,2024-01-28
masalah kulitku jerawat,SOMETHINC [2 PCS] New Layering Serum Best Seller,bintang 5,Shinta,2024-01-28
"baru pertama kali coba kebetulan co pas lagi diskon jadi 28k aja, semoga cocok sih",SOMETHINC Reset Gentle Micellar Cleansing Water,bintang 5,N***n,2024-01-28
Mantap sesuaiii semoga cocok,SOMETHINC [2 PCS] Paket Skincare Pilihan,bintang 5,D***e,2024-01-28
Tadinya mau beli diofflinestore tp mahal bgt 99k pas cek dionline store nya cuma 65k karena dpt potongan sm lg flashsale langsung beli,SOMETHINC HOOMAN UNDER CONTROL HD Blur Loose Powder,bintang 5,S***a,2024-01-28
No review found,SOMETHINC Checkmatte Transferproof Lipstick,bintang 5,Suci,2024-01-28
No review found,SOMETHINC Checkmatte Transferproof Lipstick,bintang 5,Suci,2024-01-28
makasiihh 👍👍👍👍👍👍👍,SOMETHINC 10% Niacinamide + Moisture Sabi Beet Brightening Serum,bintang 5,Ika,2024-01-28
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 makasih,SOMETHINC Calm Down! PHA 3% Soothing Everyday Toner,bintang 5,Ika,2024-01-28
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 makasih,SOMETHINC HYALuronic9+ Advanced + B5 Serum,bintang 5,Ika,2024-01-28
makasiihh 👍👍👍👍👍👍👍.. tp tumben ga ada gift nya 🤪,SOMETHINC Copy Paste Tinted Sunscreen SPF 40 PA++++,bintang 5,Ika,2024-01-28
makasiihh 👍👍👍👍👍👍👍,SOMETHINC HOOMAN UNDER CONTROL HD Blur Loose Powder,bintang 5,Ika,2024-01-28
"tipe kulitku berminyak masalah kulitku jerawat
Semoga cocok sama rangkaian ini 
Terimakasih",SOMETHINC [5 PCS] Paket Lengkap Acnedot Series,bintang 5,Salvania,2024-01-28
Stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,[FLASH SALE] SOMETHINC 10% Niacinamide + Moisture Sabi Beet Serum,bintang 3,L***a,2024-01-28
tipe kulitku normal,SOMETHINC [2 PCS] Layering Diamond Serum Favorit,bintang 5,O***i,2024-01-28
Bagus,SOMETHINC ACNEDOT Treatment Toner,bintang 5,K***h,2024-01-28
Pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan. Expired datenya 08 dan 09.2026,SOMETHINC [2 PCS] New Layering Serum Best Seller,bintang 5,Y***a,2024-01-28
"cocok dikulit saya, ngak kering atau ketarik, pengiriman cepet, mantull",SOMETHINC Low pH Gentle Jelly Cleanser - Face Wash / Face Cleanser,bintang 5,e***n,2024-01-28
"lipstiknya mudah patah, saran kalau pakai jangan diulur terlalu panjang.",SOMETHINC Checkmatte Transferproof Lipstick,bintang 3,I***n,2024-01-28
"barang lengkap, packing aman dan rapi. belum coba productnya. semoga cocok. tipe kulitku normal",SOMETHINC [2 PCS] Layering Diamond Serum Favorit,bintang 5,I***a,2024-01-28
"Bacanya review nya bagus2, mudah2an jg cocok. Terima kasih bonusnya, pas banget pas lagi butuh..",[Tasya Farasya Approved] SOMETHINC Calm Down! Skinpair Moisturizer,bintang 5,R***a,2024-01-28
Cocok dikulit. Sebelum pakai jerawat 2 biji di pipi agak meradang. Malam dikasih besoknya udh mendingan dan kempes.,[FLASH SALE] SOMETHINC ACNE SHOT AC Overnight Treatment Spot Cream,bintang 5,D***y,2024-01-28
Sebenarnya bagus. Tapi di aq jatuhnya bikin bibir agak kering. Walaupun sebelum pake lipstick udh pakai lipbalm. Warnanya pigmented bgt. Merah queennya bagus bgt,SOMETHINC Checkmatte Transferproof Lipstick,bintang 4,Dessy,2024-01-28
tipe kulitku normal,SOMETHINC 10% Niacinamide + Moisture Sabi Beet Brightening Serum,bintang 5,I***s,2024-01-28
